60,https://www.gasbuddy.com/Station/60,BP,4802 Caton Farm Rd Joliet  IL ,815-439-0702,$2.89,$3.29,$3.79,NA
61,https://www.gasbuddy.com/Station/61,Speedway,800 Brook Forest Ave Shorewood  IL ,815-436-8266,$2.89,$3.19,$3.59,$2.63
62,https://www.gasbuddy.com/Station/62,Mobil,14298 Ladue Rd Chesterfield  MO ,314-878-2505,NA,NA,NA,NA
63,https://www.gasbuddy.com/Station/63,ARCO,2155 Cubit St Eugene  OR ,,- - -,- - -,- - -,- - -,- - -,- - -,- - -,- - -
65,https://www.gasbuddy.com/Station/65,Speedway,7201 W 183rd St Tinley Park  IL ,708-532-3373,$2.89,$3.19,$3.17,$2.67
67,https://www.gasbuddy.com/Station/67,Sunoco,98 Murtland Ave Washington  PA ,(724) 228-2850,$2.69,$3.29,$3.49,$3.35
68,https://www.gasbuddy.com/Station/68,Phillips 66,7323 N Lindbergh Blvd Hazelwood  MO ,(314) 921-0991,$2.42,$2.62,$2.82,NA
69,https://www.gasbuddy.com/Station/69,QuikTrip,10845 Lilac Ave Bellefontaine Neighbors  MO ,314-867-2777,$2.39,$2.59,$2.79,$2.59
70,https://www.gasbuddy.com/Station/70,Shell,654 W North Ave Elmhurst  IL ,630-833-2288,$2.89,$2.90,$3.66,$2.79
71,https://www.gasbuddy.com/Station/71,Speedway,301 W Maple St New Lenox  IL ,(815) 485-6704,$2.89,$2.87,$3.27,$2.58
72,https://www.gasbuddy.com/Station/72,Sunoco,3091 Pittsburgh Rd Star Junction  PA ,724-736-0710,$2.74,- - -,- - -,$3.33
73,https://www.gasbuddy.com/Station/73,CITGO,1160 W Jefferson St Joliet  IL ,815-725-5196,$2.59,- - -,- - -,NA
75,https://www.gasbuddy.com/Station/75,Shell,1499 S Belcher Rd Clearwater  FL ,727-535-7665,$2.29,$2.69,- - -,$2.69
76,https://www.gasbuddy.com/Station/76,QuikTrip,8601 Mexico Rd O'Fallon  MO ,636-240-8341,$2.45,$2.65,$2.85,$2.64
77,https://www.gasbuddy.com/Station/77,Phillips 66,18423 Olive St Rd Chesterfield  MO ,636-532-1313,$2.39,$2.59,$2.79,$2.79
78,https://www.gasbuddy.com/Station/78,QuikTrip,4750 CR-K O'Fallon  MO ,865-922-1761,$2.45,$2.65,$2.85,$2.66
79,https://www.gasbuddy.com/Station/79,Mobil,17287 Wild Horse Creek Rd Chesterfield  MO ,636-519-8314,$2.37,$2.62,$2.87,$2.69
81,https://www.gasbuddy.com/Station/81,Meijer,2988 Walker Ave NW Walker  MI ,(616) 735-5070,$2.54,$2.84,$3.14,$2.56
82,https://www.gasbuddy.com/Station/82,Chevron,801 5th St Modesto  CA ,209-846-0167,$3.29,$3.39,$3.59,$3.59,$3.69,$3.69
83,https://www.gasbuddy.com/Station/83,76,1401 Coffee Rd Modesto  CA ,209-571-9999,$3.19,- - -,- - -,- - -,- - -,- - -
84,https://www.gasbuddy.com/Station/84,Stop and Save,1424 Coffee Rd Modesto  CA ,209-578-5231,$3.19,$3.39,$3.59,NA
85,https://www.gasbuddy.com/Station/85,Texaco,1606 Sisk Rd Modesto  CA ,209-521-6280,$3.57,$3.67,$3.69,- - -,$3.81,$3.91,$3.95,$4.05
86,https://www.gasbuddy.com/Station/86,ARCO,2301 Fulkerth Rd Turlock  CA ,209-668-8048,$3.15,$3.39,$3.59,$3.87
87,https://www.gasbuddy.com/Station/87,Chevron,1230 Crows Landing Rd Modesto  CA ,209-577-5922,$3.75,$3.85,$3.95,$4.05
88,https://www.gasbuddy.com/Station/88,Shell,1801 Standiford Ave Modesto  CA ,209-523-8452,$3.39,$3.54,$3.69,NA
89,https://www.gasbuddy.com/Station/89,Shell,100 W Geneva Rd Wheaton  IL ,,$2.89,$2.78,$3.38,$2.87
90,https://www.gasbuddy.com/Station/90,Marathon,1605 N Cunningham Ave Urbana  IL ,(217)328-5536,- - -,$2.78,- - -,- - -
